index,code,year,period,id,Country,population,tourists,venue,rate,food,glass,metal,other,paper,plastic,leather,green_waste,waste_recycling
5241,EEA_3161-02-2,2009,2009-01--2009-12,FRDR11359,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5243,EEA_3161-05-5,2009,2009-01--2009-12,FRDR136B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5247,EEA_3161-02-2,2009,2009-01--2009-12,FRDR182,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5250,EEA_3161-02-2,2009,2009-01--2009-12,FRDR136B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5252,EEA_3161-02-2,2009,2009-01--2009-12,FRDR11502,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5255,EEA_3161-01-1,2009,2009-01--2009-12,FRDR187,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5257,EEA_3161-05-5,2009,2009-01--2009-12,FRDR182,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5259,EEA_3161-01-1,2009,2009-01--2009-12,FRDR11359,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5260,EEA_3161-01-1,2009,2009-01--2009-12,FRDR136B,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
5262,EEA_3161-01-1,2009,2009-01--2009-12,FRDR11502,France,122.299437237519,71176346.0,0.0,0.0,32.0,10.0,3.0,26.0,20.0,9.0,0.0,0.0,22.26
